movie,total.matches,doc.matches
Stand By Me,49,36
Close Encounters,71,55
Goonies,110,103
Aliens,17,16
Gremlins,7,7
The Sandlot,6,5
Wonder Years,1,1
Flight of the Navigator,1,1
Dreamcatcher,2,2
Jurassic Park,13,11
Jaws,19,23
Cloverfield*,49,40
